#---------------------------------------------------
#                 SIR simulation 2020               
#                         by mirinnes               
#----------------------------------------------------
#                                                    
#CANT HAB: 10000
#REGION: [0,50]x[0,50]
#PERIOD DUR: 50
#LONG CONTAG: 0.5
#D   S    I    R
1    9999    1    0
2    9998    2    0
3    9997    3    0
4    9992    8    0
5    9985    15    0
6    9980    20    0
7    9974    25    1
8    9963    35    2
9    9950    47    3
10    9939    53    8
11    9920    65    15
12    9898    82    20
13    9873    101    26
14    9849    114    37
15    9823    127    50
16    9801    138    61
17    9766    154    80
18    9738    160    102
19    9700    173    127
20    9659    190    151
21    9597    226    177
22    9540    261    199
23    9483    283    234
24    9430    308    262
25    9378    322    300
26    9295    364    341
27    9211    386    403
28    9138    402    460
29    9039    444    517
30    8960    470    570
31    8885    493    622
32    8797    498    705
33    8700    511    789
34    8587    551    862
35    8489    550    961
36    8395    565    1040
37    8298    587    1115
38    8187    610    1203
39    8085    615    1300
40    7960    627    1413
41    7825    664    1511
42    7669    726    1605
43    7522    776    1702
44    7373    814    1813
45    7201    884    1915
46    7017    943    2040
47    6865    960    2175
48    6708    961    2331
49    6545    977    2478
50    6372    1001    2627
51    6212    989    2799
