#---------------------------------------------------
#                 SIR simulation 2020               
#                         by mirinnes               
#----------------------------------------------------
#                                                    
#CANT HAB: 10000
#REGION: [0,50]x[0,50]
#PERIOD DUR: 1000
#LONG CONTAG: 0.5
#D   S    I    R
1    9999    1    0
2    9998    2    0
3    9994    6    0
4    9989    11    0
5    9988    12    0
6    9982    18    0
7    9975    24    1
8    9958    40    2
9    9937    57    6
10    9919    70    11
11    9898    90    12
12    9884    98    18
13    9857    118    25
14    9818    140    42
15    9782    155    63
16    9734    185    81
17    9689    209    102
18    9632    252    116
19    9562    295    143
20    9493    325    182
21    9419    363    218
22    9344    390    266
23    9265    424    311
24    9188    444    368
25    9091    471    438
26    9011    482    507
27    8931    488    581
28    8844    500    656
29    8750    515    735
30    8628    560    812
31    8502    589    909
32    8380    631    989
33    8226    705    1069
34    8087    757    1156
35    7947    803    1250
36    7820    808    1372
37    7716    786    1498
38    7585    795    1620
39    7465    761    1774
40    7312    775    1913
41    7165    782    2053
42    6998    822    2180
43    6830    886    2284
44    6661    924    2415
45    6500    965    2535
46    6330    982    2688
47    6161    1004    2835
48    6005    993    3002
49    5816    1014    3170
50    5638    1023    3339
51    5438    1062    3500
52    5244    1086    3670
53    5038    1123    3839
54    4835    1170    3995
55    4618    1198    4184
56    4389    1249    4362
57    4169    1269    4562
58    3979    1265    4756
59    3791    1247    4962
60    3584    1251    5165
61    3340    1278    5382
62    3117    1272    5611
63    2889    1280    5831
64    2678    1301    6021
65    2450    1341    6209
66    2206    1378    6416
67    2010    1330    6660
68    1835    1282    6883
69    1696    1193    7111
70    1547    1131    7322
71    1388    1062    7550
72    1253    953    7794
73    1123    887    7990
74    1014    821    8165
75    892    804    8304
76    777    770    8453
77    675    713    8612
78    582    671    8747
79    498    625    8877
80    420    594    8986
81    352    540    9108
82    292    485    9223
83    236    439    9325
84    188    394    9418
85    131    367    9502
86    94    326    9580
87    65    287    9648
88    50    242    9708
89    37    199    9764
90    29    159    9812
91    25    106    9869
92    24    70    9906
93    24    41    9935
94    23    27    9950
95    23    14    9963
96    23    6    9971
97    23    2    9975
98    23    1    9976
99    23    1    9976
100    23    0    9977
101    23    0    9977
102    23    0    9977
103    23    0    9977
104    23    0    9977
105    23    0    9977
106    23    0    9977
107    23    0    9977
108    23    0    9977
109    23    0    9977
110    23    0    9977
111    23    0    9977
112    23    0    9977
113    23    0    9977
114    23    0    9977
115    23    0    9977
116    23    0    9977
117    23    0    9977
118    23    0    9977
119    23    0    9977
120    23    0    9977
121    23    0    9977
122    23    0    9977
123    23    0    9977
124    23    0    9977
125    23    0    9977
126    23    0    9977
127    23    0    9977
128    23    0    9977
129    23    0    9977
130    23    0    9977
131    23    0    9977
132    23    0    9977
133    23    0    9977
134    23    0    9977
135    23    0    9977
136    23    0    9977
137    23    0    9977
138    23    0    9977
139    23    0    9977
140    23    0    9977
141    23    0    9977
142    23    0    9977
143    23    0    9977
144    23    0    9977
145    23    0    9977
146    23    0    9977
147    23    0    9977
148    23    0    9977
149    23    0    9977
150    23    0    9977
151    23    0    9977
152    23    0    9977
153    23    0    9977
154    23    0    9977
155    23    0    9977
156    23    0    9977
157    23    0    9977
158    23    0    9977
159    23    0    9977
160    23    0    9977
161    23    0    9977
162    23    0    9977
163    23    0    9977
164    23    0    9977
165    23    0    9977
166    23    0    9977
167    23    0    9977
168    23    0    9977
169    23    0    9977
170    23    0    9977
171    23    0    9977
172    23    0    9977
173    23    0    9977
174    23    0    9977
175    23    0    9977
176    23    0    9977
177    23    0    9977
178    23    0    9977
179    23    0    9977
180    23    0    9977
181    23    0    9977
182    23    0    9977
183    23    0    9977
184    23    0    9977
185    23    0    9977
186    23    0    9977
187    23    0    9977
188    23    0    9977
189    23    0    9977
190    23    0    9977
191    23    0    9977
192    23    0    9977
193    23    0    9977
194    23    0    9977
195    23    0    9977
196    23    0    9977
197    23    0    9977
198    23    0    9977
199    23    0    9977
200    23    0    9977
201    23    0    9977
202    23    0    9977
203    23    0    9977
204    23    0    9977
205    23    0    9977
206    23    0    9977
207    23    0    9977
208    23    0    9977
209    23    0    9977
210    23    0    9977
211    23    0    9977
212    23    0    9977
213    23    0    9977
214    23    0    9977
215    23    0    9977
216    23    0    9977
217    23    0    9977
218    23    0    9977
219    23    0    9977
220    23    0    9977
221    23    0    9977
222    23    0    9977
223    23    0    9977
224    23    0    9977
225    23    0    9977
226    23    0    9977
227    23    0    9977
228    23    0    9977
229    23    0    9977
230    23    0    9977
231    23    0    9977
232    23    0    9977
233    23    0    9977
234    23    0    9977
235    23    0    9977
236    23    0    9977
237    23    0    9977
238    23    0    9977
239    23    0    9977
240    23    0    9977
241    23    0    9977
242    23    0    9977
243    23    0    9977
244    23    0    9977
245    23    0    9977
246    23    0    9977
247    23    0    9977
248    23    0    9977
249    23    0    9977
250    23    0    9977
251    23    0    9977
252    23    0    9977
253    23    0    9977
254    23    0    9977
255    23    0    9977
256    23    0    9977
257    23    0    9977
258    23    0    9977
259    23    0    9977
260    23    0    9977
261    23    0    9977
262    23    0    9977
263    23    0    9977
264    23    0    9977
265    23    0    9977
266    23    0    9977
267    23    0    9977
268    23    0    9977
269    23    0    9977
270    23    0    9977
271    23    0    9977
272    23    0    9977
273    23    0    9977
274    23    0    9977
275    23    0    9977
276    23    0    9977
277    23    0    9977
278    23    0    9977
279    23    0    9977
280    23    0    9977
281    23    0    9977
282    23    0    9977
283    23    0    9977
284    23    0    9977
285    23    0    9977
286    23    0    9977
287    23    0    9977
288    23    0    9977
289    23    0    9977
290    23    0    9977
291    23    0    9977
292    23    0    9977
293    23    0    9977
294    23    0    9977
295    23    0    9977
296    23    0    9977
297    23    0    9977
298    23    0    9977
299    23    0    9977
300    23    0    9977
301    23    0    9977
302    23    0    9977
303    23    0    9977
304    23    0    9977
305    23    0    9977
306    23    0    9977
307    23    0    9977
308    23    0    9977
309    23    0    9977
310    23    0    9977
311    23    0    9977
312    23    0    9977
313    23    0    9977
314    23    0    9977
315    23    0    9977
316    23    0    9977
317    23    0    9977
318    23    0    9977
319    23    0    9977
320    23    0    9977
321    23    0    9977
322    23    0    9977
323    23    0    9977
324    23    0    9977
325    23    0    9977
326    23    0    9977
327    23    0    9977
328    23    0    9977
329    23    0    9977
330    23    0    9977
331    23    0    9977
332    23    0    9977
333    23    0    9977
334    23    0    9977
335    23    0    9977
336    23    0    9977
337    23    0    9977
338    23    0    9977
339    23    0    9977
340    23    0    9977
341    23    0    9977
342    23    0    9977
343    23    0    9977
344    23    0    9977
345    23    0    9977
346    23    0    9977
347    23    0    9977
348    23    0    9977
349    23    0    9977
350    23    0    9977
351    23    0    9977
352    23    0    9977
353    23    0    9977
354    23    0    9977
355    23    0    9977
356    23    0    9977
357    23    0    9977
358    23    0    9977
359    23    0    9977
360    23    0    9977
361    23    0    9977
362    23    0    9977
363    23    0    9977
364    23    0    9977
365    23    0    9977
366    23    0    9977
367    23    0    9977
368    23    0    9977
369    23    0    9977
370    23    0    9977
371    23    0    9977
372    23    0    9977
373    23    0    9977
374    23    0    9977
375    23    0    9977
376    23    0    9977
377    23    0    9977
378    23    0    9977
379    23    0    9977
380    23    0    9977
381    23    0    9977
382    23    0    9977
383    23    0    9977
384    23    0    9977
385    23    0    9977
386    23    0    9977
387    23    0    9977
388    23    0    9977
389    23    0    9977
390    23    0    9977
391    23    0    9977
392    23    0    9977
393    23    0    9977
394    23    0    9977
395    23    0    9977
396    23    0    9977
397    23    0    9977
398    23    0    9977
399    23    0    9977
400    23    0    9977
401    23    0    9977
402    23    0    9977
403    23    0    9977
404    23    0    9977
405    23    0    9977
406    23    0    9977
407    23    0    9977
408    23    0    9977
409    23    0    9977
410    23    0    9977
411    23    0    9977
412    23    0    9977
413    23    0    9977
414    23    0    9977
415    23    0    9977
416    23    0    9977
417    23    0    9977
418    23    0    9977
419    23    0    9977
420    23    0    9977
421    23    0    9977
422    23    0    9977
423    23    0    9977
424    23    0    9977
425    23    0    9977
426    23    0    9977
427    23    0    9977
428    23    0    9977
429    23    0    9977
430    23    0    9977
431    23    0    9977
432    23    0    9977
433    23    0    9977
434    23    0    9977
435    23    0    9977
436    23    0    9977
437    23    0    9977
438    23    0    9977
439    23    0    9977
440    23    0    9977
441    23    0    9977
442    23    0    9977
443    23    0    9977
444    23    0    9977
445    23    0    9977
446    23    0    9977
447    23    0    9977
448    23    0    9977
449    23    0    9977
450    23    0    9977
451    23    0    9977
452    23    0    9977
453    23    0    9977
454    23    0    9977
455    23    0    9977
456    23    0    9977
457    23    0    9977
458    23    0    9977
459    23    0    9977
460    23    0    9977
461    23    0    9977
462    23    0    9977
463    23    0    9977
464    23    0    9977
465    23    0    9977
466    23    0    9977
467    23    0    9977
468    23    0    9977
469    23    0    9977
470    23    0    9977
471    23    0    9977
472    23    0    9977
473    23    0    9977
474    23    0    9977
475    23    0    9977
476    23    0    9977
477    23    0    9977
478    23    0    9977
479    23    0    9977
480    23    0    9977
481    23    0    9977
482    23    0    9977
483    23    0    9977
484    23    0    9977
485    23    0    9977
486    23    0    9977
487    23    0    9977
488    23    0    9977
489    23    0    9977
490    23    0    9977
491    23    0    9977
492    23    0    9977
493    23    0    9977
494    23    0    9977
495    23    0    9977
496    23    0    9977
497    23    0    9977
498    23    0    9977
499    23    0    9977
500    23    0    9977
501    23    0    9977
502    23    0    9977
503    23    0    9977
504    23    0    9977
505    23    0    9977
506    23    0    9977
507    23    0    9977
508    23    0    9977
509    23    0    9977
510    23    0    9977
511    23    0    9977
512    23    0    9977
513    23    0    9977
514    23    0    9977
515    23    0    9977
516    23    0    9977
517    23    0    9977
518    23    0    9977
519    23    0    9977
520    23    0    9977
521    23    0    9977
522    23    0    9977
523    23    0    9977
524    23    0    9977
525    23    0    9977
526    23    0    9977
527    23    0    9977
528    23    0    9977
