#---------------------------------------------------
#                 SIR simulation 2020               
#                         by mirinnes               
#----------------------------------------------------
#                                                    
#CANT HAB: 10000
#REGION: [0,50]x[0,50]
#PERIOD DUR: 1000
#LONG CONTAG: 0.5
#D   S    I    R
529    23    0    9977
530    23    0    9977
531    23    0    9977
532    23    0    9977
533    23    0    9977
534    23    0    9977
535    23    0    9977
536    23    0    9977
537    23    0    9977
538    23    0    9977
539    23    0    9977
540    23    0    9977
541    23    0    9977
542    23    0    9977
543    23    0    9977
544    23    0    9977
545    23    0    9977
546    23    0    9977
547    23    0    9977
548    23    0    9977
549    23    0    9977
550    23    0    9977
551    23    0    9977
552    23    0    9977
553    23    0    9977
554    23    0    9977
555    23    0    9977
556    23    0    9977
557    23    0    9977
558    23    0    9977
559    23    0    9977
560    23    0    9977
561    23    0    9977
562    23    0    9977
563    23    0    9977
564    23    0    9977
565    23    0    9977
566    23    0    9977
567    23    0    9977
568    23    0    9977
569    23    0    9977
570    23    0    9977
571    23    0    9977
572    23    0    9977
573    23    0    9977
574    23    0    9977
575    23    0    9977
576    23    0    9977
577    23    0    9977
578    23    0    9977
579    23    0    9977
580    23    0    9977
581    23    0    9977
582    23    0    9977
583    23    0    9977
584    23    0    9977
585    23    0    9977
586    23    0    9977
587    23    0    9977
588    23    0    9977
589    23    0    9977
590    23    0    9977
591    23    0    9977
592    23    0    9977
593    23    0    9977
594    23    0    9977
595    23    0    9977
596    23    0    9977
597    23    0    9977
598    23    0    9977
599    23    0    9977
600    23    0    9977
601    23    0    9977
602    23    0    9977
603    23    0    9977
604    23    0    9977
605    23    0    9977
606    23    0    9977
607    23    0    9977
608    23    0    9977
609    23    0    9977
610    23    0    9977
611    23    0    9977
612    23    0    9977
613    23    0    9977
614    23    0    9977
615    23    0    9977
616    23    0    9977
617    23    0    9977
618    23    0    9977
619    23    0    9977
620    23    0    9977
621    23    0    9977
622    23    0    9977
623    23    0    9977
624    23    0    9977
625    23    0    9977
626    23    0    9977
627    23    0    9977
628    23    0    9977
629    23    0    9977
630    23    0    9977
631    23    0    9977
632    23    0    9977
633    23    0    9977
634    23    0    9977
635    23    0    9977
636    23    0    9977
637    23    0    9977
638    23    0    9977
639    23    0    9977
640    23    0    9977
641    23    0    9977
642    23    0    9977
643    23    0    9977
644    23    0    9977
645    23    0    9977
646    23    0    9977
647    23    0    9977
648    23    0    9977
649    23    0    9977
650    23    0    9977
651    23    0    9977
652    23    0    9977
653    23    0    9977
654    23    0    9977
655    23    0    9977
656    23    0    9977
657    23    0    9977
658    23    0    9977
659    23    0    9977
660    23    0    9977
661    23    0    9977
662    23    0    9977
663    23    0    9977
664    23    0    9977
665    23    0    9977
666    23    0    9977
667    23    0    9977
668    23    0    9977
669    23    0    9977
670    23    0    9977
671    23    0    9977
672    23    0    9977
673    23    0    9977
674    23    0    9977
675    23    0    9977
676    23    0    9977
677    23    0    9977
678    23    0    9977
679    23    0    9977
680    23    0    9977
681    23    0    9977
682    23    0    9977
683    23    0    9977
684    23    0    9977
685    23    0    9977
686    23    0    9977
687    23    0    9977
688    23    0    9977
689    23    0    9977
690    23    0    9977
691    23    0    9977
692    23    0    9977
693    23    0    9977
694    23    0    9977
695    23    0    9977
696    23    0    9977
697    23    0    9977
698    23    0    9977
699    23    0    9977
700    23    0    9977
701    23    0    9977
702    23    0    9977
703    23    0    9977
704    23    0    9977
705    23    0    9977
706    23    0    9977
707    23    0    9977
708    23    0    9977
709    23    0    9977
710    23    0    9977
711    23    0    9977
712    23    0    9977
713    23    0    9977
714    23    0    9977
715    23    0    9977
716    23    0    9977
717    23    0    9977
718    23    0    9977
719    23    0    9977
720    23    0    9977
721    23    0    9977
722    23    0    9977
723    23    0    9977
724    23    0    9977
725    23    0    9977
726    23    0    9977
727    23    0    9977
728    23    0    9977
729    23    0    9977
730    23    0    9977
731    23    0    9977
732    23    0    9977
733    23    0    9977
734    23    0    9977
735    23    0    9977
736    23    0    9977
737    23    0    9977
738    23    0    9977
739    23    0    9977
740    23    0    9977
741    23    0    9977
742    23    0    9977
743    23    0    9977
744    23    0    9977
745    23    0    9977
746    23    0    9977
747    23    0    9977
748    23    0    9977
749    23    0    9977
750    23    0    9977
751    23    0    9977
752    23    0    9977
753    23    0    9977
754    23    0    9977
755    23    0    9977
756    23    0    9977
757    23    0    9977
758    23    0    9977
759    23    0    9977
760    23    0    9977
761    23    0    9977
762    23    0    9977
763    23    0    9977
764    23    0    9977
765    23    0    9977
766    23    0    9977
767    23    0    9977
768    23    0    9977
769    23    0    9977
770    23    0    9977
771    23    0    9977
772    23    0    9977
773    23    0    9977
774    23    0    9977
775    23    0    9977
776    23    0    9977
777    23    0    9977
778    23    0    9977
779    23    0    9977
780    23    0    9977
781    23    0    9977
782    23    0    9977
783    23    0    9977
784    23    0    9977
785    23    0    9977
786    23    0    9977
787    23    0    9977
788    23    0    9977
789    23    0    9977
790    23    0    9977
791    23    0    9977
792    23    0    9977
793    23    0    9977
794    23    0    9977
795    23    0    9977
796    23    0    9977
797    23    0    9977
798    23    0    9977
799    23    0    9977
800    23    0    9977
801    23    0    9977
802    23    0    9977
803    23    0    9977
804    23    0    9977
805    23    0    9977
806    23    0    9977
807    23    0    9977
808    23    0    9977
809    23    0    9977
810    23    0    9977
811    23    0    9977
812    23    0    9977
813    23    0    9977
814    23    0    9977
815    23    0    9977
816    23    0    9977
817    23    0    9977
818    23    0    9977
819    23    0    9977
820    23    0    9977
821    23    0    9977
822    23    0    9977
823    23    0    9977
824    23    0    9977
825    23    0    9977
826    23    0    9977
827    23    0    9977
828    23    0    9977
829    23    0    9977
830    23    0    9977
831    23    0    9977
832    23    0    9977
833    23    0    9977
834    23    0    9977
835    23    0    9977
836    23    0    9977
837    23    0    9977
838    23    0    9977
839    23    0    9977
840    23    0    9977
841    23    0    9977
842    23    0    9977
843    23    0    9977
844    23    0    9977
845    23    0    9977
846    23    0    9977
847    23    0    9977
848    23    0    9977
849    23    0    9977
850    23    0    9977
851    23    0    9977
852    23    0    9977
853    23    0    9977
854    23    0    9977
855    23    0    9977
856    23    0    9977
857    23    0    9977
858    23    0    9977
859    23    0    9977
860    23    0    9977
861    23    0    9977
862    23    0    9977
863    23    0    9977
864    23    0    9977
865    23    0    9977
866    23    0    9977
867    23    0    9977
868    23    0    9977
869    23    0    9977
870    23    0    9977
871    23    0    9977
872    23    0    9977
873    23    0    9977
874    23    0    9977
875    23    0    9977
876    23    0    9977
877    23    0    9977
878    23    0    9977
879    23    0    9977
880    23    0    9977
881    23    0    9977
882    23    0    9977
883    23    0    9977
884    23    0    9977
885    23    0    9977
886    23    0    9977
887    23    0    9977
888    23    0    9977
889    23    0    9977
890    23    0    9977
891    23    0    9977
892    23    0    9977
893    23    0    9977
894    23    0    9977
895    23    0    9977
896    23    0    9977
897    23    0    9977
898    23    0    9977
899    23    0    9977
900    23    0    9977
901    23    0    9977
902    23    0    9977
903    23    0    9977
904    23    0    9977
905    23    0    9977
906    23    0    9977
907    23    0    9977
908    23    0    9977
909    23    0    9977
910    23    0    9977
911    23    0    9977
912    23    0    9977
913    23    0    9977
914    23    0    9977
915    23    0    9977
916    23    0    9977
917    23    0    9977
918    23    0    9977
919    23    0    9977
920    23    0    9977
921    23    0    9977
922    23    0    9977
923    23    0    9977
924    23    0    9977
925    23    0    9977
926    23    0    9977
927    23    0    9977
928    23    0    9977
929    23    0    9977
930    23    0    9977
931    23    0    9977
932    23    0    9977
933    23    0    9977
934    23    0    9977
935    23    0    9977
936    23    0    9977
937    23    0    9977
938    23    0    9977
939    23    0    9977
940    23    0    9977
941    23    0    9977
942    23    0    9977
943    23    0    9977
944    23    0    9977
945    23    0    9977
946    23    0    9977
947    23    0    9977
948    23    0    9977
949    23    0    9977
950    23    0    9977
951    23    0    9977
952    23    0    9977
953    23    0    9977
954    23    0    9977
955    23    0    9977
956    23    0    9977
957    23    0    9977
958    23    0    9977
959    23    0    9977
960    23    0    9977
961    23    0    9977
962    23    0    9977
963    23    0    9977
964    23    0    9977
965    23    0    9977
966    23    0    9977
967    23    0    9977
968    23    0    9977
969    23    0    9977
970    23    0    9977
971    23    0    9977
972    23    0    9977
973    23    0    9977
974    23    0    9977
975    23    0    9977
976    23    0    9977
977    23    0    9977
978    23    0    9977
979    23    0    9977
980    23    0    9977
981    23    0    9977
982    23    0    9977
983    23    0    9977
984    23    0    9977
985    23    0    9977
986    23    0    9977
987    23    0    9977
988    23    0    9977
989    23    0    9977
990    23    0    9977
991    23    0    9977
992    23    0    9977
993    23    0    9977
994    23    0    9977
995    23    0    9977
996    23    0    9977
997    23    0    9977
998    23    0    9977
999    23    0    9977
1000    23    0    9977
1001    23    0    9977
